division_template = {
	name = "Infantry Militia"
	regiments = {
		irregular_infantry = { x = 0 y = 0 }
		irregular_infantry = { x = 0 y = 1 }
		irregular_infantry = { x = 0 y = 2 }
		irregular_infantry = { x = 0 y = 3 }
		irregular_infantry = { x = 1 y = 0 }
		irregular_infantry = { x = 1 y = 1 }
		irregular_infantry = { x = 1 y = 2 }
		irregular_infantry = { x = 1 y = 3 }
	}
	support = {
		recon = { x = 0 y = 0 }
	}
}
units = {
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2757
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2379
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	division = {
		division_name = { is_name_ordered = yes name_order = 1 }
		location = 2322
		division_template = "Infantry Militia"
		start_experience_factor = 0.3
	}
	fleet = {
		name = "Junta Second Fleet"
		naval_base = 2757
		task_force = {
			ship = { name = "USS Mobile Bay" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Momsen" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Monterey" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Mustin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Nebraska" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Nevada" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Nitze" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Normandy" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS O'Kane" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Oscar Austin" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Paul Hamilton" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Paul Ignatius" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Pennsylvania" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Philippine Sea" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Pinckney" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Port Royal" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Porter" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Preble" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Princeton" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Rafael Peralta" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Ralph Johnson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Ramage" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Rhode Island" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Roosevelt" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Ross" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Russell" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Sampson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS San Jacinto" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Shiloh" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Shoup" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Spruance" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Sterett" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Stethem" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Stockdale" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Stout" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Tennessee" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS The Sullivans" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Thomas Hudner" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Truxtun" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Vella Gulf" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Vicksburg" definition = light_cruiser equipment = { battle_cruiser_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wayne E. Meyer" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS West Virginia" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS William P. Lawrence" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Winston S. Churchill" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wyoming" definition = submarine equipment = { submarine_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Zumwalt" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
		}
	}
}
